[2026-06-22T20:34:58.827Z] GET http://localhost:8899/css/style.css?v=6 → 200 (4ms, 36856B)
[2026-06-22T20:34:58.827Z] GET http://localhost:8899/images/ADA01368.jpg → 200 (1ms, 762248B)
[2026-06-22T20:34:58.828Z] GET http://localhost:8899/images/haldi.jpg → 200 (?ms, 3599349B)
[2026-06-22T20:34:58.828Z] GET http://localhost:8899/images/ADA01428.jpg → 200 (?ms, 7476426B)
[2026-06-22T20:34:58.829Z] GET http://localhost:8899/images/ADA01554.jpg → 200 (?ms, 6950775B)
[2026-06-22T20:34:58.829Z] GET http://localhost:8899/images/about-mandap.jpg → 200 (?ms, 563774B)
[2026-06-22T20:34:58.829Z] GET http://localhost:8899/images/svc-planning.jpg → 200 (?ms, 182400B)
[2026-06-22T20:34:58.829Z] GET http://localhost:8899/images/svc-decor.jpg → 200 (?ms, 287073B)
[2026-06-22T20:34:58.829Z] GET http://localhost:8899/images/svc-entertainment.jpg → 200 (?ms, 145705B)
[2026-06-22T20:34:58.829Z] GET http://localhost:8899/images/gallery/ADA00755.jpg → 200 (1ms, 3989484B)
[2026-06-22T20:34:58.830Z] GET http://localhost:8899/images/gallery/ADA00534.jpg → 200 (?ms, 10657525B)
[2026-06-22T20:34:58.830Z] GET http://localhost:8899/images/gallery/ADA_8004.jpg → 200 (?ms, 1905947B)
[2026-06-22T20:34:58.830Z] GET http://localhost:8899/images/gallery/ADA01195.jpg → 200 (?ms, 5660405B)
[2026-06-22T20:34:58.830Z] GET http://localhost:8899/images/gallery/ADA01444.jpg → 200 (1ms, 7387500B)
[2026-06-22T20:34:58.831Z] GET http://localhost:8899/js/main.js?v=6 → 304 (?ms, ?B)
[2026-06-22T20:34:58.842Z] GET http://localhost:8899/images/hw-logo.png → 200 (?ms, 278177B)
[2026-06-22T20:34:58.842Z] GET https://fonts.gstatic.com/s/cinzel/v26/8vIJ7ww63mVu7gt79mT7PkRXMw.woff2 → 200 (?ms, ?B)
[2026-06-22T20:34:58.842Z] GET https://fonts.gstatic.com/s/cormorantgaramond/v21/co3ZmX5slCNuHLi8bLeY9MK7whWMhyjYrEtImSqn7B6D.woff2 → 200 (1ms, ?B)
[2026-06-22T20:34:58.843Z] GET https://fonts.gstatic.com/s/cormorantgaramond/v21/co3bmX5slCNuHLi8bLeY9MK7whWMhyjYqXtKky2F7g.woff2 → 200 (?ms, ?B)
[2026-06-22T20:34:58.843Z] GET https://fonts.gstatic.com/s/mulish/v18/1Ptvg83HX_SGhgqk3wotYKNnBQ.woff2 → 200 (?ms, ?B)
[2026-06-22T20:46:49.906Z] GET http://localhost:8899/index.html → 200 (3ms, 16312B)
[2026-06-22T20:46:49.911Z] GET https://fonts.googleapis.com/css2?family=Cinzel:wght@500;600&family=Cormorant+Garamond:ital,wght@0,400;0,500;0,600;1,400;1,500;1,600&family=Mulish:wght@300;400;500;600;700&display=swap → 200 (?ms, 23213B)
[2026-06-22T20:46:49.912Z] GET http://localhost:8899/css/style.css?v=6 → 200 (2ms, 36629B)
[2026-06-22T20:46:49.912Z] GET http://localhost:8899/images/ADA01368.jpg → 200 (?ms, 762248B)
[2026-06-22T20:46:49.912Z] GET http://localhost:8899/images/haldi.jpg → 200 (?ms, 3599349B)
[2026-06-22T20:46:49.912Z] GET http://localhost:8899/images/ADA01428.jpg → 200 (?ms, 7476426B)
[2026-06-22T20:46:49.912Z] GET http://localhost:8899/images/ADA01554.jpg → 200 (?ms, 6950775B)
[2026-06-22T20:46:49.912Z] GET http://localhost:8899/images/about-mandap.jpg → 200 (?ms, 563774B)
[2026-06-22T20:46:49.913Z] GET http://localhost:8899/images/svc-planning.jpg → 200 (?ms, 182400B)
[2026-06-22T20:46:49.913Z] GET http://localhost:8899/images/svc-decor.jpg → 200 (?ms, 287073B)
[2026-06-22T20:46:49.913Z] GET http://localhost:8899/images/svc-entertainment.jpg → 200 (?ms, 145705B)
[2026-06-22T20:46:49.913Z] GET http://localhost:8899/images/gallery/ADA00755.jpg → 200 (?ms, 3989484B)
[2026-06-22T20:46:49.913Z] GET http://localhost:8899/images/gallery/ADA00534.jpg → 200 (1ms, 10657525B)
[2026-06-22T20:46:49.914Z] GET http://localhost:8899/images/gallery/ADA_8004.jpg → 200 (?ms, 1905947B)
[2026-06-22T20:46:49.914Z] GET http://localhost:8899/images/gallery/ADA01195.jpg → 200 (?ms, 5660405B)
[2026-06-22T20:46:49.914Z] GET http://localhost:8899/images/gallery/ADA01444.jpg → 200 (?ms, 7387500B)
[2026-06-22T20:46:49.914Z] GET http://localhost:8899/js/main.js?v=6 → 304 (?ms, ?B)
[2026-06-22T20:46:49.921Z] GET http://localhost:8899/images/hw-logo.png → 200 (?ms, 278177B)
[2026-06-22T20:46:49.922Z] GET https://fonts.gstatic.com/s/cinzel/v26/8vIJ7ww63mVu7gt79mT7PkRXMw.woff2 → 200 (?ms, ?B)
[2026-06-22T20:46:49.922Z] GET https://fonts.gstatic.com/s/cormorantgaramond/v21/co3ZmX5slCNuHLi8bLeY9MK7whWMhyjYrEtImSqn7B6D.woff2 → 200 (?ms, ?B)
[2026-06-22T20:46:49.922Z] GET https://fonts.gstatic.com/s/cormorantgaramond/v21/co3bmX5slCNuHLi8bLeY9MK7whWMhyjYqXtKky2F7g.woff2 → 200 (?ms, ?B)
[2026-06-22T20:46:49.922Z] GET https://fonts.gstatic.com/s/mulish/v18/1Ptvg83HX_SGhgqk3wotYKNnBQ.woff2 → 200 (?ms, ?B)
[2026-06-22T20:54:25.471Z] GET http://localhost:8899/index.html → 200 (3ms, 15887B)
[2026-06-22T20:54:25.476Z] GET https://fonts.googleapis.com/css2?family=Cinzel:wght@500;600&family=Cormorant+Garamond:ital,wght@0,400;0,500;0,600;1,400;1,500;1,600&family=Mulish:wght@300;400;500;600;700&display=swap → 200 (?ms, 23213B)
[2026-06-22T20:54:25.476Z] GET http://localhost:8899/css/style.css?v=6 → 200 (3ms, 36629B)
[2026-06-22T20:54:25.476Z] GET http://localhost:8899/images/ADA01368.jpg → 200 (?ms, 762248B)
[2026-06-22T20:54:25.476Z] GET http://localhost:8899/images/haldi.jpg → 200 (1ms, 3599349B)
[2026-06-22T20:54:25.477Z] GET http://localhost:8899/images/ADA01428.jpg → 200 (?ms, 7476426B)
[2026-06-22T20:54:25.477Z] GET http://localhost:8899/images/ADA01554.jpg → 200 (?ms, 6950775B)
[2026-06-22T20:54:25.478Z] GET http://localhost:8899/images/about-mandap.jpg → 200 (?ms, 563774B)
[2026-06-22T20:54:25.478Z] GET http://localhost:8899/images/svc-planning.jpg → 200 (?ms, 182400B)
[2026-06-22T20:54:25.478Z] GET http://localhost:8899/images/svc-decor.jpg → 200 (?ms, 287073B)
[2026-06-22T20:54:25.478Z] GET http://localhost:8899/images/svc-entertainment.jpg → 200 (?ms, 145705B)
[2026-06-22T20:54:25.478Z] GET http://localhost:8899/images/gallery/ADA00755.jpg → 200 (?ms, 3989484B)
